full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"°Betterworks CEO Kris Duggan
°New Orleans celebrity chef John Besh
°Actor Richard Dreyfus
°Actor Dustin Hoffman
°Director Brett Ratner
°President Donald Trump
°Supreme Court Justice Clarence Thomas
°Actor Kevin Spacey
°Comedian Louis C.K.
4/12",NY,0.0,0.0,2017-11-14 22:04:52,BernieUpstateNY
"Speaking his Truth. We just didn't know how strongly he believed.

Louis C.K. defends masturbation 
https://t.co/dbphkoAuil via @YouTube","Surprise, AZ",0.600000023842,0.0,2017-11-14 22:04:45,couchpotatofile
"@NBCNews 
Jon Stewart addresses Louis C.K.'s controversy, hints at misconduct at NBC https://t.co/RcjzLCT2KT via the @FoxNews Android app",USA,0.0,0.0,2017-11-14 22:04:43,MsBless2013
"Stewart’s explosive comments on Louis C.K., hints of misconduct &amp; calls sexual abuse in Hollywood “endemic!” WOW! https://t.co/K5sIoUSsw4",United States,0.300000011921,0.10000000149,2017-11-14 22:03:48,MAGAtikibob
"⚡️ “Jon Stewart felt 'anger' when he heard about Louis C.K.'s actions”

https://t.co/usy8pSEt5B","North Las Vegas, NV",0.300000011921,0.10000000149,2017-11-14 22:03:38,FredaQMal
"Stewart’s explosive comments on Louis C.K., hints of misconduct &amp; calls sexual abuse in Hollywood “endemic!” WOW! https://t.co/K5sIoUSsw4","North Carolina, USA",0.300000011921,0.10000000149,2017-11-14 22:03:25,MarianPhipps6
"""He was a gentleman to me, which speaks to the blindness a man has.""

Jon Stewart on the Louis C.K. scandal. https://t.co/fiMGYLV9x9","Granite Bay, Calif. U.S.",0.5,0.10000000149,2017-11-14 22:03:12,smokey_herring
I don't know why everyone is surprised about the allegations against Louis C.K. It's pretty obvious the guy is a scumbag from his stand up and his show. A funny scumbag but a scumbag nonetheless.,PHX!,2.09999990463,-0.699999988079,2017-11-14 22:03:12,Lilyalllennnn
Jon Stewart: I Was ‘Shocked’ At Sexual Misconduct Accusations Against Louis C.K. -  https://t.co/GmEU9KVS04 via @YouTube,"New York, USA",0.10000000149,0.0,2017-11-14 22:02:58,mennekinpis
"Stewart’s explosive comments on Louis C.K., hints of misconduct &amp; calls sexual abuse in Hollywood “endemic!” WOW! https://t.co/K5sIoUSsw4",United States,0.300000011921,0.10000000149,2017-11-14 22:02:43,CommonSensity
